"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
12 Feb 2019 17:00:00.000,-2470.359379,-5933.467723,-3159.873557,1.729459,2.830204,-6.680197
12 Feb 2019 17:00:30.000,-2417.277953,-5845.678645,-3358.700369,1.809008,3.021915,-6.573830
12 Feb 2019 17:01:00.000,-2361.836637,-5752.182709,-3554.239782,1.886772,3.210630,-6.461055
12 Feb 2019 17:01:30.000,-2304.090112,-5653.072544,-3746.301247,1.962676,3.396166,-6.341986
12 Feb 2019 17:02:00.000,-2244.095287,-5548.446231,-3934.697722,2.036647,3.578343,-6.216742
12 Feb 2019 17:02:30.000,-2181.911245,-5438.407200,-4119.245848,2.108613,3.756985,-6.085449
12 Feb 2019 17:03:00.000,-2117.599177,-5323.064118,-4299.766131,2.178504,3.931918,-5.948240
12 Feb 2019 17:03:30.000,-2051.222322,-5202.530777,-4476.083108,2.246254,4.102974,-5.805251
12 Feb 2019 17:04:00.000,-1982.845901,-5076.925977,-4648.025513,2.311797,4.269988,-5.656625
12 Feb 2019 17:04:30.000,-1912.537052,-4946.373396,-4815.426441,2.375072,4.432799,-5.502510
12 Feb 2019 17:05:00.000,-1840.364759,-4811.001472,-4978.123503,2.436017,4.591251,-5.343059
12 Feb 2019 17:05:30.000,-1766.399786,-4670.943262,-5135.958977,2.494574,4.745192,-5.178430
12 Feb 2019 17:06:00.000,-1690.714602,-4526.336313,-5288.779956,2.550688,4.894475,-5.008786
12 Feb 2019 17:06:30.000,-1613.383312,-4377.322521,-5436.438488,2.604305,5.038957,-4.834294
12 Feb 2019 17:07:00.000,-1534.481582,-4224.047986,-5578.791708,2.655375,5.178500,-4.655127
12 Feb 2019 17:07:30.000,-1454.086561,-4066.662865,-5715.701977,2.703849,5.312973,-4.471460
12 Feb 2019 17:08:00.000,-1372.276810,-3905.321228,-5847.036999,2.749682,5.442246,-4.283474
12 Feb 2019 17:08:30.000,-1289.132221,-3740.180898,-5972.669944,2.792831,5.566197,-4.091353
12 Feb 2019 17:09:00.000,-1204.733943,-3571.403298,-6092.479562,2.833254,5.684709,-3.895284
12 Feb 2019 17:09:30.000,-1119.164296,-3399.153296,-6206.350290,2.870915,5.797671,-3.695459
12 Feb 2019 17:10:00.000,-1032.506700,-3223.599038,-6314.172356,2.905778,5.904974,-3.492073
12 Feb 2019 17:10:30.000,-944.845588,-3044.911787,-6415.841877,2.937810,6.006519,-3.285323
12 Feb 2019 17:11:00.000,-856.266327,-2863.265761,-6511.260947,2.966982,6.102208,-3.075410
12 Feb 2019 17:11:30.000,-766.855138,-2678.837957,-6600.337727,2.993267,6.191954,-2.862539
12 Feb 2019 17:12:00.000,-676.699010,-2491.807989,-6682.986523,3.016640,6.275671,-2.646914
12 Feb 2019 17:12:30.000,-585.885622,-2302.357913,-6759.127860,3.037080,6.353280,-2.428744
12 Feb 2019 17:13:00.000,-494.503257,-2110.672052,-6828.688553,3.054568,6.424710,-2.208241
12 Feb 2019 17:13:30.000,-402.640718,-1916.936825,-6891.601769,3.069089,6.489892,-1.985616
12 Feb 2019 17:14:00.000,-310.387248,-1721.340566,-6947.807082,3.080628,6.548767,-1.761085
12 Feb 2019 17:14:30.000,-217.832443,-1524.073354,-6997.250532,3.089176,6.601279,-1.534864
12 Feb 2019 17:15:00.000,-125.066168,-1325.326823,-7039.884660,3.094724,6.647379,-1.307169
12 Feb 2019 17:15:30.000,-32.178476,-1125.293996,-7075.668561,3.097269,6.687025,-1.078221
12 Feb 2019 17:16:00.000,60.740479,-924.169091,-7104.567909,3.096808,6.720178,-0.848238
12 Feb 2019 17:16:30.000,153.600524,-722.147351,-7126.554990,3.093342,6.746808,-0.617442
12 Feb 2019 17:17:00.000,246.311553,-519.424853,-7141.608725,3.086875,6.766891,-0.386054
12 Feb 2019 17:17:30.000,338.783607,-316.198332,-7149.714689,3.077412,6.780407,-0.154297
12 Feb 2019 17:18:00.000,430.926963,-112.664995,-7150.865122,3.064963,6.787344,0.077608
12 Feb 2019 17:18:30.000,522.652212,90.977663,-7145.058936,3.049540,6.787694,0.309438
12 Feb 2019 17:19:00.000,613.870346,294.532041,-7132.301713,3.031158,6.781459,0.540971
12 Feb 2019 17:19:30.000,704.492840,497.800615,-7112.605705,3.009834,6.768643,0.771984
12 Feb 2019 17:20:00.000,794.431730,700.586125,-7085.989821,2.985589,6.749258,1.002256
12 Feb 2019 17:20:30.000,883.599702,902.691752,-7052.479611,2.958444,6.723321,1.231567
12 Feb 2019 17:21:00.000,971.910169,1103.921310,-7012.107244,2.928427,6.690858,1.459695
12 Feb 2019 17:21:30.000,1059.277352,1304.079422,-6964.911483,2.895564,6.651898,1.686421
12 Feb 2019 17:22:00.000,1145.616363,1502.971705,-6910.937648,2.859888,6.606478,1.911528
12 Feb 2019 17:22:30.000,1230.843281,1700.404952,-6850.237579,2.821432,6.554638,2.134799
12 Feb 2019 17:23:00.000,1314.875233,1896.187313,-6782.869595,2.780231,6.496428,2.356018
12 Feb 2019 17:23:30.000,1397.630475,2090.128473,-6708.898439,2.736325,6.431903,2.574973
12 Feb 2019 17:24:00.000,1479.028461,2282.039838,-6628.395224,2.689755,6.361121,2.791452
12 Feb 2019 17:24:30.000,1558.989932,2471.734705,-6541.437372,2.640566,6.284149,3.005246
12 Feb 2019 17:25:00.000,1637.436978,2659.028445,-6448.108549,2.588802,6.201060,3.216148
12 Feb 2019 17:25:30.000,1714.293125,2843.738677,-6348.498587,2.534515,6.111931,3.423954
12 Feb 2019 17:26:00.000,1789.483400,3025.685440,-6242.703410,2.477754,6.016845,3.628462
12 Feb 2019 17:26:30.000,1862.934406,3204.691371,-6130.824950,2.418574,5.915893,3.829473
12 Feb 2019 17:27:00.000,1934.574396,3380.581871,-6012.971054,2.357030,5.809168,4.026792
12 Feb 2019 17:27:30.000,2004.333340,3553.185275,-5889.255392,2.293181,5.696772,4.220226
12 Feb 2019 17:28:00.000,2072.142993,3722.333020,-5759.797352,2.227088,5.578811,4.409586
12 Feb 2019 17:28:30.000,2137.936966,3887.859811,-5624.721939,2.158814,5.455396,4.594687
12 Feb 2019 17:29:00.000,2201.650790,4049.603778,-5484.159657,2.088423,5.326644,4.775348
12 Feb 2019 17:29:30.000,2263.221978,4207.406642,-5338.246396,2.015984,5.192678,4.951391
12 Feb 2019 17:30:00.000,2322.590091,4361.113867,-5187.123305,1.941564,5.053624,5.122642
12 Feb 2019 17:30:30.000,2379.696798,4510.574817,-5030.936667,1.865236,4.909616,5.288933
12 Feb 2019 17:31:00.000,2434.485935,4655.642903,-4869.837762,1.787072,4.760791,5.450101
12 Feb 2019 17:31:30.000,2486.903563,4796.175736,-4703.982728,1.707148,4.607291,5.605984
12 Feb 2019 17:32:00.000,2536.898021,4932.035266,-4533.532418,1.625541,4.449263,5.756428
12 Feb 2019 17:32:30.000,2584.419985,5063.087926,-4358.652251,1.542329,4.286859,5.901284
12 Feb 2019 17:33:00.000,2629.422512,5189.204766,-4179.512053,1.457592,4.120235,6.040407
12 Feb 2019 17:33:30.000,2671.861096,5310.261588,-3996.285901,1.371413,3.949552,6.173659
12 Feb 2019 17:34:00.000,2711.693711,5426.139070,-3809.151959,1.283875,3.774974,6.300906
12 Feb 2019 17:34:30.000,2748.880858,5536.722897,-3618.292306,1.195063,3.596670,6.422020
12 Feb 2019 17:35:00.000,2783.385607,5641.903872,-3423.892762,1.105063,3.414813,6.536880
12 Feb 2019 17:35:30.000,2815.173633,5741.578039,-3226.142714,1.013963,3.229579,6.645369
12 Feb 2019 17:36:00.000,2844.213261,5835.646787,-3025.234928,0.921851,3.041149,6.747379
12 Feb 2019 17:36:30.000,2870.475493,5924.016955,-2821.365366,0.828818,2.849705,6.842805
12 Feb 2019 17:37:00.000,2893.934048,6006.600934,-2614.732996,0.734954,2.655434,6.931551
12 Feb 2019 17:37:30.000,2914.565383,6083.316761,-2405.539594,0.640352,2.458526,7.013527
12 Feb 2019 17:38:00.000,2932.348726,6154.088204,-2193.989550,0.545104,2.259173,7.088648
12 Feb 2019 17:38:30.000,2947.266100,6218.844848,-1980.289664,0.449303,2.057572,7.156838
12 Feb 2019 17:39:00.000,2959.302340,6277.522170,-1764.648945,0.353044,1.853918,7.218026
12 Feb 2019 17:39:30.000,2968.445113,6330.061612,-1547.278399,0.256421,1.648412,7.272150
12 Feb 2019 17:40:00.000,2974.684934,6376.410641,-1328.390826,0.159529,1.441257,7.319153
12 Feb 2019 17:40:30.000,2978.015180,6416.522814,-1108.200601,0.062465,1.232656,7.358986
12 Feb 2019 17:41:00.000,2978.432093,6450.357824,-886.923465,-0.034677,1.022813,7.391607
12 Feb 2019 17:41:30.000,2975.934794,6477.881551,-664.776306,-0.131800,0.811937,7.416982
12 Feb 2019 17:42:00.000,2970.525281,6499.066096,-441.976940,-0.228809,0.600236,7.435083
12 Feb 2019 17:42:30.000,2962.208429,6513.889818,-218.743897,-0.325607,0.387917,7.445891
12 Feb 2019 17:43:00.000,2950.991990,6522.337356,4.703806,-0.422098,0.175192,7.449392
12 Feb 2019 17:43:30.000,2936.886585,6524.399650,228.146879,-0.518188,-0.037731,7.445581
12 Feb 2019 17:44:00.000,2919.905694,6520.073956,451.365989,-0.613782,-0.250639,7.434461
12 Feb 2019 17:44:30.000,2900.065646,6509.363846,674.141974,-0.708783,-0.463323,7.416041
12 Feb 2019 17:45:00.000,2877.385601,6492.279209,896.256069,-0.803099,-0.675573,7.390338
12 Feb 2019 17:45:30.000,2851.887533,6468.836247,1117.490126,-0.896636,-0.887177,7.357376
12 Feb 2019 17:46:00.000,2823.596208,6439.057453,1337.626838,-0.989300,-1.097926,7.317187
12 Feb 2019 17:46:30.000,2792.539159,6402.971595,1556.449955,-1.081002,-1.307612,7.269810
12 Feb 2019 17:47:00.000,2758.746660,6360.613685,1773.744505,-1.171648,-1.516028,7.215291
12 Feb 2019 17:47:30.000,2722.251695,6312.024944,1989.297011,-1.261151,-1.722966,7.153683
12 Feb 2019 17:48:00.000,2683.089922,6257.252759,2202.895707,-1.349420,-1.928223,7.085047
12 Feb 2019 17:48:30.000,2641.299641,6196.350639,2414.330755,-1.436370,-2.131594,7.009451
12 Feb 2019 17:49:00.000,2596.921752,6129.378156,2623.394449,-1.521913,-2.332880,6.926970
12 Feb 2019 17:49:30.000,2549.999715,6056.400883,2829.881433,-1.605965,-2.531880,6.837685
12 Feb 2019 17:50:00.000,2500.579503,5977.490331,3033.588899,-1.688444,-2.728398,6.741684
12 Feb 2019 17:50:30.000,2448.709559,5892.723869,3234.316799,-1.769267,-2.922241,6.639063
12 Feb 2019 17:51:00.000,2394.440741,5802.184651,3431.868039,-1.848355,-3.113216,6.529924
